model,score,method,dataset,n,coverage,mean_width,mean_interval_score
dnsmos,precision_weighted_disagreement,fixed,nisqa_test_p501,240,0.8583333333333333,2.741448402404785,3.250893364350001
dnsmos,precision_weighted_disagreement,adaptive,nisqa_val_sim,1250,0.9064,2.7229345525741575,3.0717637113571166
dnsmos,precision_weighted_disagreement,adaptive,nisqa_train_live,1020,0.996078431372549,2.791354228001015,2.811789292447707
dnsmos,precision_weighted_disagreement,adaptive,nisqa_val_live,200,1.0,2.78779914855957,2.78779914855957
dnsmos,precision_weighted_disagreement,adaptive,nisqa_test_for,240,0.9416666666666667,2.9273889541625975,3.076419778664907
dnsmos,precision_weighted_disagreement,adaptive,nisqa_test_livetalk,232,0.9482758620689655,2.7463705025870224,3.00087480298404
dnsmos,precision_weighted_disagreement,adaptive,nisqa_test_p501,240,0.9083333333333333,2.7384250074625016,3.056455941001574
nisqa,mahalanobis,fixed,nisqa_val_sim,1250,0.9008,2.9129514694213867,3.5259917259216307
nisqa,mahalanobis,fixed,nisqa_train_live,1020,0.9931372549019608,2.9129514694213867,2.9261122451109043
nisqa,mahalanobis,fixed,nisqa_val_live,200,0.995,2.9129514694213867,2.9220370650291443
nisqa,mahalanobis,fixed,nisqa_test_for,240,0.9291666666666667,2.9129514694213867,3.447876423597336
nisqa,mahalanobis,fixed,nisqa_test_livetalk,232,0.9353448275862069,2.9129514694213867,3.185264599734339
nisqa,mahalanobis,fixed,nisqa_test_p501,240,0.9708333333333333,2.9129514694213867,3.043981909751892
nisqa,mahalanobis,adaptive,nisqa_val_sim,1250,0.8944,2.834394107437134,3.4755673614501954
nisqa,mahalanobis,adaptive,nisqa_train_live,1020,0.9431372549019608,2.1550117277631573,2.402344335761725
nisqa,mahalanobis,adaptive,nisqa_val_live,200,0.98,2.144266757965088,2.2673023080825807
nisqa,mahalanobis,adaptive,nisqa_test_for,240,0.9083333333333333,2.5388805508613586,3.2665205538272857
nisqa,mahalanobis,adaptive,nisqa_test_livetalk,232,0.8405172413793104,2.205723258955725,3.1193790065831153
nisqa,mahalanobis,adaptive,nisqa_test_p501,240,0.9041666666666667,2.5026010870933533,2.901845927039782
nisqa,ensemble_loo_disagreement,fixed,nisqa_val_sim,1250,0.9008,2.9129514694213867,3.5259917259216307
nisqa,ensemble_loo_disagreement,fixed,nisqa_train_live,1020,0.9931372549019608,2.9129514694213867,2.9261122451109043
nisqa,ensemble_loo_disagreement,fixed,nisqa_val_live,200,0.995,2.9129514694213867,2.9220370650291443
nisqa,ensemble_loo_disagreement,fixed,nisqa_test_for,240,0.9291666666666667,2.9129514694213867,3.447876423597336
nisqa,ensemble_loo_disagreement,fixed,nisqa_test_livetalk,232,0.9353448275862069,2.9129514694213867,3.185264599734339
nisqa,ensemble_loo_disagreement,fixed,nisqa_test_p501,240,0.9708333333333333,2.9129514694213867,3.043981909751892
nisqa,ensemble_loo_disagreement,adaptive,nisqa_val_sim,1250,0.8944,2.836707839012146,3.3353522233963013
nisqa,ensemble_loo_disagreement,adaptive,nisqa_train_live,1020,0.9852941176470589,2.5701890718703178,2.6149296599275926
nisqa,ensemble_loo_disagreement,adaptive,nisqa_val_live,200,0.99,2.5596063327789307,2.5917146515846254
nisqa,ensemble_loo_disagreement,adaptive,nisqa_test_for,240,0.9458333333333333,2.8677653153737386,3.152478583653768
nisqa,ensemble_loo_disagreement,adaptive,nisqa_test_livetalk,232,0.9224137931034483,2.6880153294267326,3.094628864321215
nisqa,ensemble_loo_disagreement,adaptive,nisqa_test_p501,240,0.975,2.99476657807827,3.08263989786307
