coverage,n_retained,rmse_abstain_high_score,rmse_random_abstention,model,dataset,score
0.7,168,1.08157389108978,0.992867004484137,dnsmos,nisqa_test_for,l2
0.6,144,1.118378154120248,0.9961473777185126,dnsmos,nisqa_test_for,l2
0.5,120,1.137483305935194,0.9937070362166059,dnsmos,nisqa_test_for,l2
1.0,240,0.9946852166269882,0.9946852166269884,dnsmos,nisqa_test_for,knn
0.9,216,1.017316220991048,0.9959675821975896,dnsmos,nisqa_test_for,knn
0.8,192,1.039881328900745,0.9964390330904394,dnsmos,nisqa_test_for,knn
0.7,168,1.0292046314559085,0.9923808561257086,dnsmos,nisqa_test_for,knn
0.6,144,1.0755939942199053,0.997246571488676,dnsmos,nisqa_test_for,knn
0.5,120,1.1207664215699105,0.9912032215621303,dnsmos,nisqa_test_for,knn
1.0,240,0.9946852166269882,0.9946852166269884,dnsmos,nisqa_test_for,mos_extremity
0.9,216,1.0101310341113237,0.9934240753800452,dnsmos,nisqa_test_for,mos_extremity
0.8,192,1.0170968502995694,0.9959570027720969,dnsmos,nisqa_test_for,mos_extremity
0.7,168,1.0312283665634914,0.9942463922571789,dnsmos,nisqa_test_for,mos_extremity
0.6,144,1.0423935978337908,0.9949836394804801,dnsmos,nisqa_test_for,mos_extremity
0.5,120,1.015966807100771,0.9993294794757576,dnsmos,nisqa_test_for,mos_extremity
1.0,232,0.7496366855295195,0.7496366855295195,dnsmos,nisqa_test_livetalk,mahalanobis
0.9,209,0.7506825625012079,0.7486422566409483,dnsmos,nisqa_test_livetalk,mahalanobis
0.8,186,0.7354783275792544,0.7482545835789237,dnsmos,nisqa_test_livetalk,mahalanobis
0.7,162,0.7474185354166171,0.7466315363513425,dnsmos,nisqa_test_livetalk,mahalanobis
0.6,139,0.7344000018619193,0.74858304612649,dnsmos,nisqa_test_livetalk,mahalanobis
0.5,116,0.7598882796708354,0.7502960582076028,dnsmos,nisqa_test_livetalk,mahalanobis
1.0,232,0.7496366855295195,0.7496366855295195,dnsmos,nisqa_test_livetalk,l2
0.9,209,0.7424303404137031,0.7495135139410817,dnsmos,nisqa_test_livetalk,l2
0.8,186,0.758374658457487,0.7503938714824494,dnsmos,nisqa_test_livetalk,l2
0.7,162,0.7455372968728768,0.7512889980571417,dnsmos,nisqa_test_livetalk,l2
0.6,139,0.7318069288810992,0.7501758220570599,dnsmos,nisqa_test_livetalk,l2
0.5,116,0.767546663923757,0.7525269602947608,dnsmos,nisqa_test_livetalk,l2
