model,dataset,alpha,nominal_coverage,method,coverage,mean_width
utmos,nisqa_test_livetalk,0.05,0.95,conformal_adaptive,0.896551724137931,3.144766330718994
utmos,nisqa_test_p501,0.05,0.95,conformal_fixed,0.9875,2.9893152713775635
utmos,nisqa_test_p501,0.05,0.95,conformal_adaptive,0.9875,3.1038782596588135
utmos,nisqa_train_sim,0.1,0.9,conformal_fixed,0.9569,2.6957123279571533
utmos,nisqa_train_sim,0.1,0.9,conformal_adaptive,0.9444,2.586423397064209
utmos,nisqa_train_live,0.1,0.9,conformal_fixed,0.9009803921568628,2.6957123279571533
utmos,nisqa_train_live,0.1,0.9,conformal_adaptive,0.9068627450980392,2.6503872871398926
utmos,nisqa_val_sim,0.1,0.9,conformal_fixed,0.9508,2.695711851119995
utmos,nisqa_val_sim,0.1,0.9,conformal_adaptive,0.9408,2.5828161239624023
utmos,nisqa_val_live,0.1,0.9,conformal_fixed,0.895,2.6957123279571533
utmos,nisqa_val_live,0.1,0.9,conformal_adaptive,0.875,2.6604747772216797
utmos,nisqa_test_for,0.1,0.9,conformal_fixed,0.9625,2.6957123279571533
utmos,nisqa_test_for,0.1,0.9,conformal_adaptive,0.95,2.5585055351257324
utmos,nisqa_test_livetalk,0.1,0.9,conformal_fixed,0.8017241379310345,2.6957123279571533
utmos,nisqa_test_livetalk,0.1,0.9,conformal_adaptive,0.7801724137931034,2.6681456565856934
utmos,nisqa_test_p501,0.1,0.9,conformal_fixed,0.9833333333333333,2.6957123279571533
utmos,nisqa_test_p501,0.1,0.9,conformal_adaptive,0.9708333333333333,2.622476100921631
utmos,nisqa_train_sim,0.2,0.8,conformal_fixed,0.9071,2.2181150913238525
utmos,nisqa_train_sim,0.2,0.8,conformal_adaptive,0.8977,2.1691715717315674
utmos,nisqa_train_live,0.2,0.8,conformal_fixed,0.8009803921568628,2.2181150913238525
utmos,nisqa_train_live,0.2,0.8,conformal_adaptive,0.803921568627451,2.1637685298919678
utmos,nisqa_val_sim,0.2,0.8,conformal_fixed,0.898,2.2181150913238525
utmos,nisqa_val_sim,0.2,0.8,conformal_adaptive,0.8868,2.147854804992676
utmos,nisqa_val_live,0.2,0.8,conformal_fixed,0.78,2.2181148529052734
utmos,nisqa_val_live,0.2,0.8,conformal_adaptive,0.775,2.2020909786224365
utmos,nisqa_test_for,0.2,0.8,conformal_fixed,0.9208333333333333,2.2181150913238525
utmos,nisqa_test_for,0.2,0.8,conformal_adaptive,0.9083333333333333,2.1808857917785645
utmos,nisqa_test_livetalk,0.2,0.8,conformal_fixed,0.6508620689655172,2.2181148529052734
utmos,nisqa_test_livetalk,0.2,0.8,conformal_adaptive,0.6422413793103449,2.2253592014312744
utmos,nisqa_test_p501,0.2,0.8,conformal_fixed,0.9083333333333333,2.2181150913238525
utmos,nisqa_test_p501,0.2,0.8,conformal_adaptive,0.9083333333333333,2.214536428451538
