metric,model,dataset,point_estimate,ci_lo,ci_hi,n_boot,n_groups
coverage_fixed,dnsmos,nisqa_train_sim,0.7907,0.7828,0.7987,2000,10000
coverage_adaptive,dnsmos,nisqa_train_sim,0.7916,0.7836,0.7994,2000,10000
coverage_delta,dnsmos,nisqa_train_sim,0.0009000000000000119,-0.0018000000000000238,0.0033000000000000806,2000,10000
srcc,dnsmos,nisqa_train_live,0.6740563678259067,0.6376100060797169,0.707463026797095,2000,1020
rmse,dnsmos,nisqa_train_live,0.6006711322105432,0.5774635731280462,0.6244708240271842,2000,1020
pcc,dnsmos,nisqa_train_live,0.6669270833074917,0.6324641200944053,0.7004817685912896,2000,1020
coverage_fixed,dnsmos,nisqa_train_live,0.9009803921568628,0.8823529411764706,0.9176470588235294,2000,1020
coverage_adaptive,dnsmos,nisqa_train_live,0.9068627450980392,0.8892156862745098,0.9245098039215687,2000,1020
coverage_delta,dnsmos,nisqa_train_live,0.00588235294117645,-0.0019607843137254832,0.014705882352941235,2000,1020
srcc,dnsmos,nisqa_val_sim,0.6973387499720988,0.6748890510676901,0.719666864602275,2000,2500
rmse,dnsmos,nisqa_val_sim,0.8427852724614451,0.8188397658580201,0.8654778692636242,2000,2500
pcc,dnsmos,nisqa_val_sim,0.6747967323399674,0.6537588271937492,0.6956566900361457,2000,2500
coverage_fixed,dnsmos,nisqa_val_sim,0.7724,0.7556,0.7888,2000,2500
coverage_adaptive,dnsmos,nisqa_val_sim,0.7736,0.756,0.79,2000,2500
coverage_delta,dnsmos,nisqa_val_sim,0.0011999999999999789,-0.0031999999999999832,0.006000000000000005,2000,2500
srcc,dnsmos,nisqa_val_live,0.674462840810297,0.5819260802357996,0.7465327220979006,2000,200
rmse,dnsmos,nisqa_val_live,0.5726085640517637,0.5259351049907531,0.6162900913460957,2000,200
pcc,dnsmos,nisqa_val_live,0.6949891795798838,0.625875190857078,0.7555643318810041,2000,200
coverage_fixed,dnsmos,nisqa_val_live,0.92,0.88,0.955,2000,200
coverage_adaptive,dnsmos,nisqa_val_live,0.91,0.87,0.945,2000,200
coverage_delta,dnsmos,nisqa_val_live,-0.010000000000000009,-0.025000000000000022,0.0,2000,200
srcc,dnsmos,nisqa_test_for,0.5406630343811974,0.3869514656831688,0.6554723781217634,2000,60
rmse,dnsmos,nisqa_test_for,0.9946852166269882,0.8598279830252109,1.1184441297760928,2000,60
pcc,dnsmos,nisqa_test_for,0.5510689496428103,0.4190328574024969,0.6556662929036167,2000,60
coverage_fixed,dnsmos,nisqa_test_for,0.6625,0.5666666666666667,0.7541666666666667,2000,60
coverage_adaptive,dnsmos,nisqa_test_for,0.6666666666666666,0.575,0.7583333333333333,2000,60
coverage_delta,dnsmos,nisqa_test_for,0.004166666666666652,-0.01666666666666672,0.025000000000000022,2000,60
srcc,dnsmos,nisqa_test_livetalk,0.5934208265866487,0.43679765341572313,0.7199946630759911,2000,58
rmse,dnsmos,nisqa_test_livetalk,0.7496366855295195,0.6427928232289954,0.8526562920556761,2000,58
pcc,dnsmos,nisqa_test_livetalk,0.6124725250711931,0.4695774238881647,0.7297210125343963,2000,58
coverage_fixed,dnsmos,nisqa_test_livetalk,0.8318965517241379,0.7586206896551724,0.8922413793103449,2000,58
coverage_adaptive,dnsmos,nisqa_test_livetalk,0.8362068965517241,0.7629310344827587,0.896551724137931,2000,58
coverage_delta,dnsmos,nisqa_test_livetalk,0.004310344827586188,0.0,0.012931034482758674,2000,58
srcc,dnsmos,nisqa_test_p501,0.6954190017962628,0.5797108590902046,0.7708657325503283,2000,60
rmse,dnsmos,nisqa_test_p501,1.084359321076995,0.9670939638795396,1.1979483307034458,2000,60
pcc,dnsmos,nisqa_test_p501,0.6651929398947367,0.5736743746565012,0.7379569641726151,2000,60
coverage_fixed,dnsmos,nisqa_test_p501,0.5791666666666667,0.48333333333333334,0.6708333333333333,2000,60
coverage_adaptive,dnsmos,nisqa_test_p501,0.5833333333333334,0.4875,0.675,2000,60
coverage_delta,dnsmos,nisqa_test_p501,0.004166666666666652,0.0,0.012500000000000067,2000,60
mahalanobis_auroc,dnsmos,nisqa_test_for,0.6267366666666667,0.576033875,0.6777332916666666,2000,60
mahalanobis_fpr95,dnsmos,nisqa_test_for,0.908,0.85513,0.9316,2000,60
mahalanobis_srcc_ood,dnsmos,nisqa_test_for,-0.25435771454365524,-0.40562460149549423,-0.07332606470801042,2000,60
l2_auroc,dnsmos,nisqa_test_for,0.48794,0.4379709583333333,0.5397844166666665,2000,60
l2_fpr95,dnsmos,nisqa_test_for,0.9176,0.87439,0.9332,2000,60
l2_srcc_ood,dnsmos,nisqa_test_for,-0.24589836629108142,-0.39648549503842684,-0.06197588443222969,2000,60
knn_auroc,dnsmos,nisqa_test_for,0.6550816666666668,0.604757625,0.70598525,2000,60
knn_fpr95,dnsmos,nisqa_test_for,0.8696,0.7775799999999999,0.91721,2000,60
knn_srcc_ood,dnsmos,nisqa_test_for,-0.18712390840118748,-0.33980024802009495,-0.004403461370558558,2000,60
mahalanobis_auroc,dnsmos,nisqa_test_livetalk,0.7252344827586208,0.6813506465517241,0.766551422413793,2000,58
mahalanobis_fpr95,dnsmos,nisqa_test_livetalk,0.8412,0.64759,0.8864,2000,58
mahalanobis_srcc_ood,dnsmos,nisqa_test_livetalk,0.10003094434054918,-0.05805075913620241,0.25298717715787844,2000,58
l2_auroc,dnsmos,nisqa_test_livetalk,0.6119810344827586,0.5634743103448276,0.6601154741379309,2000,58
l2_fpr95,dnsmos,nisqa_test_livetalk,0.8728,0.8128,0.9376,2000,58
l2_srcc_ood,dnsmos,nisqa_test_livetalk,0.014884035603289707,-0.14271732817308733,0.17079156928617856,2000,58
knn_auroc,dnsmos,nisqa_test_livetalk,0.7473603448275863,0.7025828017241379,0.7902068103448275,2000,58
knn_fpr95,dnsmos,nisqa_test_livetalk,0.812,0.7108,0.9232,2000,58
knn_srcc_ood,dnsmos,nisqa_test_livetalk,-0.01853585218984064,-0.1693934736375176,0.1430168951500637,2000,58
mahalanobis_auroc,dnsmos,nisqa_test_p501,0.49666499999999997,0.43370108333333335,0.560585625,2000,60
mahalanobis_fpr95,dnsmos,nisqa_test_p501,0.9492,0.9168,0.9716,2000,60
mahalanobis_srcc_ood,dnsmos,nisqa_test_p501,-0.1327549089393913,-0.3044757415405826,0.055121673247227485,2000,60
l2_auroc,dnsmos,nisqa_test_p501,0.5138716666666666,0.46054941666666666,0.5679033333333332,2000,60
l2_fpr95,dnsmos,nisqa_test_p501,0.9256,0.8495900000000001,0.9652099999999999,2000,60
l2_srcc_ood,dnsmos,nisqa_test_p501,-0.2783711522769492,-0.42823187715238037,-0.10062984043972066,2000,60
knn_auroc,dnsmos,nisqa_test_p501,0.477305,0.40916862499999995,0.5509775833333332,2000,60
