model,weighting,score,direction,coverage,n_retained,rmse
nisqa,natural,mahalanobis,retain_high_score_diagnostic,0.95,3023,0.7027844601095575
nisqa,natural,mahalanobis,retain_high_score_diagnostic,0.9,2864,0.6835974175950218
nisqa,natural,mahalanobis,retain_high_score_diagnostic,0.8,2546,0.6566783639833959
nisqa,natural,mahalanobis,retain_high_score_diagnostic,0.7,2227,0.6223767252575751
nisqa,natural,mahalanobis,retain_high_score_diagnostic,0.6,1909,0.6101362824382156
nisqa,natural,mahalanobis,retain_high_score_diagnostic,0.5,1591,0.5984425665713345
nisqa,natural,l2,retain_low_score,1.0,3182,0.7147114898560404
nisqa,natural,l2,retain_low_score,0.95,3023,0.7213187018033614
nisqa,natural,l2,retain_low_score,0.9,2864,0.732437315343476
nisqa,natural,l2,retain_low_score,0.8,2546,0.7475676019951956
nisqa,natural,l2,retain_low_score,0.7,2227,0.7638854388817407
nisqa,natural,l2,retain_low_score,0.6,1909,0.7811096034191206
nisqa,natural,l2,retain_low_score,0.5,1591,0.7904043743594927
nisqa,natural,l2,retain_high_score_diagnostic,1.0,3182,0.7147114898560403
nisqa,natural,l2,retain_high_score_diagnostic,0.95,3023,0.7015359288523879
nisqa,natural,l2,retain_high_score_diagnostic,0.9,2864,0.6977095253087484
nisqa,natural,l2,retain_high_score_diagnostic,0.8,2546,0.6862709118749099
nisqa,natural,l2,retain_high_score_diagnostic,0.7,2227,0.6675643510602963
nisqa,natural,l2,retain_high_score_diagnostic,0.6,1909,0.6533609878077242
nisqa,natural,l2,retain_high_score_diagnostic,0.5,1591,0.6299888510583823
nisqa,natural,knn,retain_low_score,1.0,3182,0.7147114898560403
nisqa,natural,knn,retain_low_score,0.95,3023,0.7179601177288789
nisqa,natural,knn,retain_low_score,0.9,2864,0.7259537943192302
nisqa,natural,knn,retain_low_score,0.8,2546,0.739280286713093
nisqa,natural,knn,retain_low_score,0.7,2227,0.7565694951890892
nisqa,natural,knn,retain_low_score,0.6,1909,0.7825547209403636
nisqa,natural,knn,retain_low_score,0.5,1591,0.8090139132395776
nisqa,natural,knn,retain_high_score_diagnostic,1.0,3182,0.7147114898560403
nisqa,natural,knn,retain_high_score_diagnostic,0.95,3023,0.7190497520854483
nisqa,natural,knn,retain_high_score_diagnostic,0.9,2864,0.7117666671728822
nisqa,natural,knn,retain_high_score_diagnostic,0.8,2546,0.6818697135093869
nisqa,natural,knn,retain_high_score_diagnostic,0.7,2227,0.651600159526811
nisqa,natural,knn,retain_high_score_diagnostic,0.6,1909,0.6262000439193257
nisqa,natural,knn,retain_high_score_diagnostic,0.5,1591,0.6059055336017874
nisqa,natural,mos_extremity,retain_low_score,1.0,3182,0.7147114898560403
nisqa,natural,mos_extremity,retain_low_score,0.95,3023,0.7258762584965494
nisqa,natural,mos_extremity,retain_low_score,0.9,2864,0.736312691658913
nisqa,natural,mos_extremity,retain_low_score,0.8,2546,0.7565753994203289
nisqa,natural,mos_extremity,retain_low_score,0.7,2227,0.7645634438280784
nisqa,natural,mos_extremity,retain_low_score,0.6,1909,0.7730767226851316
nisqa,natural,mos_extremity,retain_low_score,0.5,1591,0.7846231616024906
nisqa,natural,mos_extremity,retain_high_score_diagnostic,1.0,3182,0.7147114898560403
nisqa,natural,mos_extremity,retain_high_score_diagnostic,0.95,3023,0.7075022996556878
nisqa,natural,mos_extremity,retain_high_score_diagnostic,0.9,2864,0.7008809366830232
nisqa,natural,mos_extremity,retain_high_score_diagnostic,0.8,2546,0.681990101631674
nisqa,natural,mos_extremity,retain_high_score_diagnostic,0.7,2227,0.6713356909936536
nisqa,natural,mos_extremity,retain_high_score_diagnostic,0.6,1909,0.6537736039896657
nisqa,natural,mos_extremity,retain_high_score_diagnostic,0.5,1591,0.6371746399076109
nisqa,domain_balanced,mahalanobis,retain_low_score,1.0,3182,0.6852546265081241
nisqa,domain_balanced,mahalanobis,retain_low_score,0.95,3023,0.691427085229705
nisqa,domain_balanced,mahalanobis,retain_low_score,0.9,2864,0.6881265144377788
nisqa,domain_balanced,mahalanobis,retain_low_score,0.8,2546,0.6993254040411624
nisqa,domain_balanced,mahalanobis,retain_low_score,0.7,2227,0.7135150346134803
nisqa,domain_balanced,mahalanobis,retain_low_score,0.6,1909,0.7320110364761607
nisqa,domain_balanced,mahalanobis,retain_low_score,0.5,1591,0.7632346230953208
nisqa,domain_balanced,mahalanobis,retain_high_score_diagnostic,1.0,3182,0.6852546265081241
nisqa,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.95,3023,0.679567971309587
nisqa,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.9,2864,0.66773953670755
nisqa,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.8,2546,0.6517374856587964
nisqa,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.7,2227,0.6289686885414348
nisqa,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.6,1909,0.6237141816483887
nisqa,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.5,1591,0.6202782387195392
nisqa,domain_balanced,l2,retain_low_score,1.0,3182,0.6852546265081241
nisqa,domain_balanced,l2,retain_low_score,0.95,3023,0.6874692660896591
nisqa,domain_balanced,l2,retain_low_score,0.9,2864,0.697928442315707
nisqa,domain_balanced,l2,retain_low_score,0.8,2546,0.7072001773361578
nisqa,domain_balanced,l2,retain_low_score,0.7,2227,0.7211685883146973
nisqa,domain_balanced,l2,retain_low_score,0.6,1909,0.7362655674361517
nisqa,domain_balanced,l2,retain_low_score,0.5,1591,0.739656014846991
nisqa,domain_balanced,l2,retain_high_score_diagnostic,1.0,3182,0.6852546265081241
nisqa,domain_balanced,l2,retain_high_score_diagnostic,0.95,3023,0.6787569261048252
nisqa,domain_balanced,l2,retain_high_score_diagnostic,0.9,2864,0.6774773954789871
nisqa,domain_balanced,l2,retain_high_score_diagnostic,0.8,2546,0.6754080284222195
nisqa,domain_balanced,l2,retain_high_score_diagnostic,0.7,2227,0.6628437551962808
nisqa,domain_balanced,l2,retain_high_score_diagnostic,0.6,1909,0.6533367416709437
nisqa,domain_balanced,l2,retain_high_score_diagnostic,0.5,1591,0.638641761416846
nisqa,domain_balanced,knn,retain_low_score,1.0,3182,0.6852546265081241
nisqa,domain_balanced,knn,retain_low_score,0.95,3023,0.6872808542729868
nisqa,domain_balanced,knn,retain_low_score,0.9,2864,0.6926115733249554
nisqa,domain_balanced,knn,retain_low_score,0.8,2546,0.7011995346008096
nisqa,domain_balanced,knn,retain_low_score,0.7,2227,0.7089319728595743
