model,dataset,seed,method,coverage,mean_width,mean_interval_score,delta_coverage,delta_width,delta_interval_score
utmos,nisqa_val_live,20270841,predicted_mos_mondrian,0.805,2.3671977019309995,3.566322634220123,0.03500000000000003,0.2091567015647886,-0.1671069288253788
utmos,nisqa_val_live,20270841,mos_extremity_mondrian,0.75,2.1463924968242645,3.9538004004955294,-0.020000000000000018,-0.011648503541946464,0.2203708374500275
utmos,nisqa_val_live,20270841,local_residual_mondrian_k10,0.73,1.9920908498764038,3.8846993374824526,-0.040000000000000036,-0.1659501504898071,0.15126977443695067
utmos,nisqa_val_live,20270841,local_residual_normalized_k10,0.73,1.8032901553137206,4.258988238745336,-0.040000000000000036,-0.3547508450524903,0.525558675699834
utmos,nisqa_val_live,20270841,local_residual_mondrian_k25,0.74,1.9846341395378113,3.7947213554382326,-0.030000000000000027,-0.17340686082839962,0.06129179239273075
utmos,nisqa_val_live,20270841,local_residual_normalized_k25,0.68,1.8570851898286935,3.917703860127426,-0.08999999999999997,-0.3009558105375174,0.18427429708192422
utmos,nisqa_val_live,20270841,local_residual_mondrian_k50,0.775,2.0451950812339783,3.6901713395118714,0.0050000000000000044,-0.11284591913223263,-0.04325822353363051
utmos,nisqa_val_live,20270841,local_residual_normalized_k50,0.77,2.0049075146804864,3.6884237817991594,0.0,-0.1531334856857245,-0.04500578124634247
utmos,nisqa_test_for,20270841,mahalanobis_mondrian,0.9166666666666666,2.1900113503138225,2.6407113949457806,0.004166666666666652,0.03197034994761161,0.021331983804703025
utmos,nisqa_test_for,20270841,predicted_mos_mondrian,0.9458333333333333,2.3915700018405914,2.6945291062196097,0.033333333333333326,0.2335290014743805,0.0751496950785322
utmos,nisqa_test_for,20270841,mos_extremity_mondrian,0.9083333333333333,2.1301901012659075,2.6065718005100886,-0.004166666666666652,-0.027850899100303472,-0.012807610630988897
utmos,nisqa_test_for,20270841,local_residual_mondrian_k10,0.9083333333333333,2.127247067292531,2.630899163087209,-0.004166666666666652,-0.030793933073679725,0.011519751946131418
utmos,nisqa_test_for,20270841,local_residual_normalized_k10,0.9083333333333333,2.154426284080387,2.7898195586683068,-0.004166666666666652,-0.0036147162858237714,0.17044014752722925
utmos,nisqa_test_for,20270841,local_residual_mondrian_k25,0.9166666666666666,2.208948318163554,2.6404527763525647,0.004166666666666652,0.05090731779734314,0.02107336521148717
utmos,nisqa_test_for,20270841,local_residual_normalized_k25,0.9125,2.1488327651776946,2.666999252778945,0.0,-0.009208235188516323,0.04761984163786748
utmos,nisqa_test_for,20270841,local_residual_mondrian_k50,0.9416666666666667,2.2761413852373757,2.702036033074061,0.029166666666666674,0.11810038487116481,0.0826566219329834
utmos,nisqa_test_for,20270841,local_residual_normalized_k50,0.9333333333333333,2.2246293393625676,2.6813807361166506,0.02083333333333337,0.06658833899635663,0.06200132497557309
utmos,nisqa_test_livetalk,20270841,mahalanobis_mondrian,0.6594827586206896,2.2304638480318,4.566827219108055,0.02155172413793094,0.07242284766558926,-0.20408938876513805
utmos,nisqa_test_livetalk,20270841,predicted_mos_mondrian,0.7068965517241379,2.399745026539112,4.134716821127925,0.06896551724137923,0.2417040261729011,-0.6361997867452684
utmos,nisqa_test_livetalk,20270841,mos_extremity_mondrian,0.6120689655172413,2.1237465718696855,4.8185788331360655,-0.02586206896551735,-0.03429442849652542,0.047662225262872226
