model,task,dataset,score,n,positive_rate,auroc_prespecified_direction,auroc_direction_free_diagnostic,preferred_direction
utmos,within_domain_top_quartile,nisqa_val_live,mahalanobis,200,0.25,0.4981333333333333,0.5018666666666667,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_val_live,l2,200,0.25,0.40426666666666666,0.5957333333333333,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_val_live,knn,200,0.25,0.5469333333333333,0.5469333333333333,higher_score_higher_error
utmos,within_domain_top_quartile,nisqa_val_live,mos_extremity,200,0.25,0.4032,0.5968,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_test_for,mahalanobis,240,0.25,0.5094444444444444,0.5094444444444444,higher_score_higher_error
utmos,within_domain_top_quartile,nisqa_test_for,l2,240,0.25,0.4119444444444445,0.5880555555555556,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_test_for,knn,240,0.25,0.5368518518518519,0.5368518518518519,higher_score_higher_error
utmos,within_domain_top_quartile,nisqa_test_for,mos_extremity,240,0.25,0.41000000000000003,0.59,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_test_livetalk,mahalanobis,232,0.25,0.42281014665081257,0.5771898533491875,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_test_livetalk,l2,232,0.25,0.37237415774871185,0.6276258422512881,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_test_livetalk,knn,232,0.25,0.4346016646848989,0.5653983353151011,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_test_livetalk,mos_extremity,232,0.25,0.3830757035275466,0.6169242964724534,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_test_p501,mahalanobis,240,0.25,0.4750925925925926,0.5249074074074074,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_test_p501,l2,240,0.25,0.34564814814814815,0.6543518518518519,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_test_p501,knn,240,0.25,0.5583333333333333,0.5583333333333333,higher_score_higher_error
utmos,within_domain_top_quartile,nisqa_test_p501,mos_extremity,240,0.25,0.31351851851851853,0.6864814814814815,higher_score_lower_error
utmos,pooled_top_quartile,all,mahalanobis,3182,0.2501571338780641,0.515061687313348,0.515061687313348,higher_score_higher_error
utmos,pooled_top_quartile,all,l2,3182,0.2501571338780641,0.4537566289115317,0.5462433710884683,higher_score_lower_error
utmos,pooled_top_quartile,all,knn,3182,0.2501571338780641,0.5492266445387036,0.5492266445387036,higher_score_higher_error
utmos,pooled_top_quartile,all,mos_extremity,3182,0.2501571338780641,0.4957041072925398,0.5042958927074602,higher_score_lower_error
utmos,balanced_pooled_top_quartile,all,mahalanobis,3182,0.2501571338780641,0.5266321577418294,0.5266321577418294,higher_score_higher_error
utmos,balanced_pooled_top_quartile,all,l2,3182,0.2501571338780641,0.439125259957708,0.560874740042292,higher_score_lower_error
utmos,balanced_pooled_top_quartile,all,knn,3182,0.2501571338780641,0.555317684187943,0.555317684187943,higher_score_higher_error
utmos,balanced_pooled_top_quartile,all,mos_extremity,3182,0.2501571338780641,0.4714349950006006,0.5285650049993994,higher_score_lower_error
utmos,pooled_abs_error_gt_0.5,all,mahalanobis,3182,0.5084852294154619,0.47666200892137367,0.5233379910786263,higher_score_lower_error
utmos,pooled_abs_error_gt_0.5,all,l2,3182,0.5084852294154619,0.43072143943297747,0.5692785605670225,higher_score_lower_error
utmos,pooled_abs_error_gt_0.5,all,knn,3182,0.5084852294154619,0.4990460579351857,0.5009539420648144,higher_score_lower_error
utmos,pooled_abs_error_gt_0.5,all,mos_extremity,3182,0.5084852294154619,0.4547954359365071,0.5452045640634928,higher_score_lower_error
utmos,pooled_abs_error_gt_0.75,all,mahalanobis,3182,0.34003771213073536,0.4914034856086612,0.5085965143913388,higher_score_lower_error
utmos,pooled_abs_error_gt_0.75,all,l2,3182,0.34003771213073536,0.4421366957134055,0.5578633042865945,higher_score_lower_error
utmos,pooled_abs_error_gt_0.75,all,knn,3182,0.34003771213073536,0.5209972713669572,0.5209972713669572,higher_score_higher_error
utmos,pooled_abs_error_gt_0.75,all,mos_extremity,3182,0.34003771213073536,0.48021917084763666,0.5197808291523633,higher_score_lower_error
utmos,pooled_abs_error_gt_1,all,mahalanobis,3182,0.1983029541169076,0.5234155090356412,0.5234155090356412,higher_score_higher_error
utmos,pooled_abs_error_gt_1,all,l2,3182,0.1983029541169076,0.46047198171563186,0.5395280182843681,higher_score_lower_error
utmos,pooled_abs_error_gt_1,all,knn,3182,0.1983029541169076,0.5538967037568313,0.5538967037568313,higher_score_higher_error
utmos,pooled_abs_error_gt_1,all,mos_extremity,3182,0.1983029541169076,0.5084703118195469,0.5084703118195469,higher_score_higher_error
utmos,pooled_standardized_error_top_quartile,all,mahalanobis,3182,0.2501571338780641,0.5518129204277886,0.5518129204277886,higher_score_higher_error
utmos,pooled_standardized_error_top_quartile,all,l2,3182,0.2501571338780641,0.5059607551588622,0.5059607551588622,higher_score_higher_error
utmos,pooled_standardized_error_top_quartile,all,knn,3182,0.2501571338780641,0.5551394861988063,0.5551394861988063,higher_score_higher_error
utmos,pooled_standardized_error_top_quartile,all,mos_extremity,3182,0.2501571338780641,0.5304234921463984,0.5304234921463984,higher_score_higher_error
utmos,pooled_outside_subjective_95ci,all,mahalanobis,3182,0.42834695160276554,0.5215926127446611,0.5215926127446611,higher_score_higher_error
utmos,pooled_outside_subjective_95ci,all,l2,3182,0.42834695160276554,0.481365887184956,0.518634112815044,higher_score_lower_error
utmos,pooled_outside_subjective_95ci,all,knn,3182,0.42834695160276554,0.5298917394729232,0.5298917394729232,higher_score_higher_error
utmos,pooled_outside_subjective_95ci,all,mos_extremity,3182,0.42834695160276554,0.5041275813264808,0.5041275813264808,higher_score_higher_error
