model,task,weighting,score,auroc,ci_lo,ci_hi,n_boot
dnsmos,outside_subjective_95ci,natural,knn,0.46102574939116014,0.43853477322041573,0.48300002519185736,2000
dnsmos,outside_subjective_95ci,domain_balanced,mahalanobis,0.47318409771309566,0.4439721722174204,0.5013400802141659,2000
dnsmos,outside_subjective_95ci,domain_balanced,l2,0.4883754549894834,0.45906378049114616,0.5183061328588131,2000
dnsmos,outside_subjective_95ci,domain_balanced,knn,0.4407747861663619,0.4119695661557334,0.46957135474624245,2000
nisqa,top_quartile,natural,mahalanobis,0.38469748154013994,0.3582311193874678,0.40969463155515456,2000
nisqa,top_quartile,natural,l2,0.4075935524226329,0.3831002370220826,0.43209034457031475,2000
nisqa,top_quartile,natural,knn,0.4180218464493465,0.39308386594015493,0.4423252329658151,2000
nisqa,top_quartile,domain_balanced,mahalanobis,0.45173469377493286,0.4094776822278791,0.4882731118658761,2000
nisqa,top_quartile,domain_balanced,l2,0.4516024707816832,0.41697063974797177,0.48618723743756254,2000
nisqa,top_quartile,domain_balanced,knn,0.4650251093306446,0.422552520581804,0.5008367297037554,2000
nisqa,abs_error_gt_0.75,natural,mahalanobis,0.39131354651514233,0.3672607373115354,0.4157392298418892,2000
nisqa,abs_error_gt_0.75,natural,l2,0.4114139414455258,0.3878155283348233,0.43541286578135285,2000
nisqa,abs_error_gt_0.75,natural,knn,0.42622332708698546,0.40295954293213704,0.45093400252387084,2000
nisqa,abs_error_gt_0.75,domain_balanced,mahalanobis,0.45439392880534674,0.4189086752328846,0.4901640428646388,2000
nisqa,abs_error_gt_0.75,domain_balanced,l2,0.45068065958305253,0.41784469869322755,0.48435446694916073,2000
nisqa,abs_error_gt_0.75,domain_balanced,knn,0.473854939517389,0.437106146881724,0.5106564631428793,2000
nisqa,standardized_error_top_quartile,natural,mahalanobis,0.46661060962819123,0.4384045382013507,0.4896929747058171,2000
nisqa,standardized_error_top_quartile,natural,l2,0.5209969061569373,0.49469540548726215,0.5455503722310793,2000
nisqa,standardized_error_top_quartile,natural,knn,0.44580298811745234,0.41774559916603127,0.46751945720967947,2000
nisqa,standardized_error_top_quartile,domain_balanced,mahalanobis,0.4777081493057746,0.4419651874399734,0.5121143968708863,2000
nisqa,standardized_error_top_quartile,domain_balanced,l2,0.5216064518799046,0.4891567257171484,0.5551897598827622,2000
nisqa,standardized_error_top_quartile,domain_balanced,knn,0.4534408704282192,0.41512548728503473,0.48747982501400455,2000
nisqa,outside_subjective_95ci,natural,mahalanobis,0.46008539112672664,0.43773966017307375,0.4822923792269934,2000
nisqa,outside_subjective_95ci,natural,l2,0.5119738868745227,0.48930745347479837,0.5331253919204787,2000
nisqa,outside_subjective_95ci,natural,knn,0.45088708771141206,0.4303319058451771,0.4719901529243891,2000
nisqa,outside_subjective_95ci,domain_balanced,mahalanobis,0.4610743931296695,0.43308407034715685,0.48883209452669574,2000
nisqa,outside_subjective_95ci,domain_balanced,l2,0.5195374696545412,0.48995329768373624,0.5490457519361144,2000
nisqa,outside_subjective_95ci,domain_balanced,knn,0.44962680311350073,0.4200865706357154,0.4787598786800513,2000
utmos,top_quartile,natural,mahalanobis,0.515061687313348,0.49358119161807323,0.5388648666281465,2000
utmos,top_quartile,natural,l2,0.4537566289115317,0.4304234455709116,0.47855969193703946,2000
utmos,top_quartile,natural,knn,0.5492266445387036,0.5249706934400896,0.571920719184664,2000
utmos,top_quartile,domain_balanced,mahalanobis,0.5266321577418294,0.4942994793258126,0.5602243275172003,2000
utmos,top_quartile,domain_balanced,l2,0.439125259957708,0.40562748748266386,0.47725315029116006,2000
utmos,top_quartile,domain_balanced,knn,0.555317684187943,0.5239126649062037,0.5876846454428275,2000
utmos,abs_error_gt_0.75,natural,mahalanobis,0.4914034856086612,0.4690124376982255,0.5137847500666088,2000
utmos,abs_error_gt_0.75,natural,l2,0.4421366957134055,0.4207501930572691,0.4631021923162935,2000
utmos,abs_error_gt_0.75,natural,knn,0.5209972713669572,0.500102680705526,0.542953389287217,2000
utmos,abs_error_gt_0.75,domain_balanced,mahalanobis,0.508202970972837,0.47713762423764894,0.5396222393442093,2000
