model,method,aggregation,n_seeds,mean_delta_coverage,mean_delta_width,mean_delta_interval_score,std_delta_interval_score,min_delta_interval_score,max_delta_interval_score,fraction_improved,dataset
utmos,local_residual_normalized_k10,per_dataset,20,0.0008799999999999919,0.039879665079662695,-0.012333483636515296,0.05455548204944857,-0.11882928764066447,0.14522004554645074,0.7,nisqa_val_sim
utmos,local_residual_mondrian_k25,per_dataset,20,0.004680000000000012,0.011404012308120692,-0.05958809966087335,0.023178552298503297,-0.10102744827270493,-0.01377378921508754,1.0,nisqa_val_sim
utmos,local_residual_normalized_k25,per_dataset,20,0.001479999999999998,-0.02601917693829927,-0.08137990074885382,0.030701372330850334,-0.13547118220719634,0.011025923590721298,0.95,nisqa_val_sim
utmos,local_residual_mondrian_k50,per_dataset,20,0.0029200000000000003,-0.0010026560306548803,-0.06356398205757137,0.028376904076766348,-0.10286077156066886,0.008806147003173947,0.95,nisqa_val_sim
utmos,local_residual_normalized_k50,per_dataset,20,-0.0021999999999999962,-0.03803010609692228,-0.08263884667146564,0.02895304131845431,-0.13545895770011018,5.465698664819385e-05,0.95,nisqa_val_sim
utmos,mahalanobis_mondrian,per_dataset,20,0.0177450980392157,0.0878291866007973,-0.03724818829227894,0.07174209931809072,-0.17286581151625668,0.10217607956306596,0.65,nisqa_train_live
utmos,predicted_mos_mondrian,per_dataset,20,0.04431372549019609,0.20003424224900263,-0.09633737654078237,0.11004033263671445,-0.4045171288882985,0.09411920145446162,0.85,nisqa_train_live
utmos,mos_extremity_mondrian,per_dataset,20,-0.0024019607843137,0.024447781642278045,0.06981503341712207,0.1689537474615612,-0.18921698238335383,0.6450521443404402,0.3,nisqa_train_live
utmos,local_residual_mondrian_k10,per_dataset,20,-0.018529411764705867,-0.11865369321084492,0.09678055369386493,0.11331506736450893,-0.06977222643646552,0.3439607582840267,0.2,nisqa_train_live
utmos,local_residual_normalized_k10,per_dataset,20,-0.05401960784313725,-0.22755242497297487,0.3723522610152404,0.2844231545720971,-0.03782692750040351,1.0331951028884903,0.05,nisqa_train_live
utmos,local_residual_mondrian_k25,per_dataset,20,-0.007745098039215676,-0.09086293566460699,0.03363376972722083,0.12030851885559009,-0.17277138350056642,0.2718242439569214,0.45,nisqa_train_live
utmos,local_residual_normalized_k25,per_dataset,20,-0.029509803921568618,-0.17208819634852085,0.10969127931948526,0.1731072891131732,-0.13972038904556472,0.4351814928493094,0.3,nisqa_train_live
utmos,local_residual_mondrian_k50,per_dataset,20,-0.008823529411764707,-0.09341997236597768,0.04602798689814176,0.09111803993394026,-0.119096032077191,0.20433503295861,0.3,nisqa_train_live
utmos,local_residual_normalized_k50,per_dataset,20,-0.02573529411764705,-0.15067692645789443,0.10455336518156835,0.11426461102369172,-0.08489688852550037,0.37957354120811093,0.15,nisqa_train_live
utmos,mahalanobis_mondrian,per_dataset,20,0.018999999999999996,0.08778690016269686,-0.07058358335494994,0.08135771166827332,-0.21373162388801603,0.060810434818267645,0.8,nisqa_val_live
utmos,predicted_mos_mondrian,per_dataset,20,0.039749999999999994,0.2071307662129402,-0.14546616524457937,0.13426516754426454,-0.5162722492218017,0.10987718582153327,0.9,nisqa_val_live
utmos,mos_extremity_mondrian,per_dataset,20,-0.012750000000000022,0.012964896559715245,0.10902576029300692,0.18911190723619645,-0.24068243265151956,0.6416671109199523,0.2,nisqa_val_live
utmos,local_residual_mondrian_k10,per_dataset,20,-0.020250000000000018,-0.13685970032215117,0.12341138994693754,0.17417471915754637,-0.09542167663574208,0.4670471775531766,0.25,nisqa_val_live
utmos,local_residual_normalized_k10,per_dataset,20,-0.04850000000000002,-0.26363441493683576,0.3566951129525273,0.3209868356558277,-0.07198974361360166,1.0604535647478808,0.2,nisqa_val_live
utmos,local_residual_mondrian_k25,per_dataset,20,-0.004500000000000004,-0.10744119870662687,0.009388998270034832,0.15773205386716166,-0.27015363454818697,0.28396170139312726,0.5,nisqa_val_live
utmos,local_residual_normalized_k25,per_dataset,20,-0.021500000000000012,-0.18988653044240777,0.08942468360235752,0.21439908849061234,-0.26247280404793427,0.48553299300958086,0.4,nisqa_val_live
utmos,local_residual_mondrian_k50,per_dataset,20,0.010000000000000004,-0.09899917161464689,-0.10976788318157196,0.15945946394242722,-0.3145019161701206,0.2405746245384215,0.75,nisqa_val_live
utmos,local_residual_normalized_k50,per_dataset,20,-0.011750000000000005,-0.15486928537305034,-0.008419762815257248,0.16841135807408814,-0.21438605583099424,0.45740390149567833,0.7,nisqa_val_live
utmos,mahalanobis_mondrian,per_dataset,20,0.003333333333333355,0.0579081636170546,0.03511959428588547,0.036770686211467056,-0.0034598122040430113,0.11746838986873653,0.15,nisqa_test_for
utmos,predicted_mos_mondrian,per_dataset,20,0.024166666666666677,0.22600946957866358,0.1030408713718255,0.06484154807287772,-0.030198049545288264,0.21778632402420062,0.05,nisqa_test_for
utmos,mos_extremity_mondrian,per_dataset,20,0.0027083333333333516,0.021784170617659825,0.00441981866955754,0.020139393816315212,-0.020489476124445627,0.04414718051751443,0.55,nisqa_test_for
utmos,local_residual_mondrian_k10,per_dataset,20,-0.0024999999999999857,-0.014007682601610828,0.03351744512716923,0.06014109726647961,-0.07514528830846157,0.1646221061547597,0.3,nisqa_test_for
utmos,local_residual_normalized_k10,per_dataset,20,-0.01145833333333331,-0.0019137455989547858,0.14316825985312617,0.09325035779933612,0.01994951663179023,0.40528786039447295,0.0,nisqa_test_for
utmos,local_residual_mondrian_k25,per_dataset,20,0.005208333333333354,0.06114405284325282,0.06119771987199778,0.05589612966312768,-0.0438693692286809,0.16592212319374067,0.15,nisqa_test_for
utmos,local_residual_normalized_k25,per_dataset,20,0.002916666666666695,0.02977301126443983,0.0478458798305607,0.054748028231875356,-0.04229113476996327,0.1733922798098213,0.15,nisqa_test_for
utmos,local_residual_mondrian_k50,per_dataset,20,0.013125000000000015,0.09495086684823036,0.07122717166940362,0.05223422512889236,-0.03430434266726179,0.14592063029607116,0.15,nisqa_test_for
utmos,local_residual_normalized_k50,per_dataset,20,0.009583333333333366,0.03558749281909888,0.02845914107322014,0.0395353458428777,-0.053801915368017816,0.12569479977089504,0.25,nisqa_test_for
utmos,mahalanobis_mondrian,per_dataset,20,0.025646551724137913,0.08447640651258925,-0.148947510945386,0.13038927331648917,-0.3538932851676284,0.14843479723765896,0.8,nisqa_test_livetalk
utmos,predicted_mos_mondrian,per_dataset,20,0.07349137931034481,0.235672210876284,-0.5041781668519153,0.13994207776004167,-0.8184577740471939,-0.24243567935351695,1.0,nisqa_test_livetalk
utmos,mos_extremity_mondrian,per_dataset,20,0.006249999999999994,0.013308337690501349,-0.06033014208078393,0.14854428056924449,-0.37894908107560266,0.21278817489229418,0.65,nisqa_test_livetalk
utmos,local_residual_mondrian_k10,per_dataset,20,-0.00883620689655174,-0.03171309725991613,0.13828872863588657,0.24543609572025718,-0.32512793047674826,0.7120287089512267,0.25,nisqa_test_livetalk
utmos,local_residual_normalized_k10,per_dataset,20,-0.009267241379310365,-0.02794323077190347,0.4336870606288561,0.350331334844701,-0.23995070883808545,1.0682353051157198,0.1,nisqa_test_livetalk
utmos,local_residual_mondrian_k25,per_dataset,20,0.01745689655172412,0.019987612962722758,-0.06308157587873527,0.21410453629993423,-0.39996836925375057,0.3491458132349212,0.6,nisqa_test_livetalk
utmos,local_residual_normalized_k25,per_dataset,20,0.007543103448275845,-0.02209843567464198,0.030025704220561656,0.22920605326355736,-0.3225518796501632,0.3768203502516112,0.5,nisqa_test_livetalk
utmos,local_residual_mondrian_k50,per_dataset,20,0.03405172413793102,0.06497602812175092,-0.24711643642392653,0.18808233611015732,-0.5590483361277085,0.06449400762031843,0.85,nisqa_test_livetalk
utmos,local_residual_normalized_k50,per_dataset,20,0.01573275862068963,0.005070998133547433,-0.16498632775235408,0.1735178899275435,-0.43320253652152996,0.26400556333828007,0.9,nisqa_test_livetalk
utmos,mahalanobis_mondrian,per_dataset,20,0.013333333333333336,0.0840754060447216,0.037024084577957715,0.03663611907377128,-0.010502457618713379,0.12612124482790632,0.1,nisqa_test_p501
utmos,predicted_mos_mondrian,per_dataset,20,-1.1102230246251566e-17,0.016367317239443447,0.03249790817499154,0.04287882420355884,-0.028242679437001428,0.13023960987726824,0.2,nisqa_test_p501
utmos,mos_extremity_mondrian,per_dataset,20,0.015833333333333328,0.017452128479878093,-0.05295355444153158,0.04985867396803055,-0.11604329446951533,0.03217595815658569,0.8,nisqa_test_p501
utmos,local_residual_mondrian_k10,per_dataset,20,-0.0016666666666666774,-0.03447620650132499,0.048581670920054124,0.05892794977276305,-0.038144193092982004,0.200075919429461,0.15,nisqa_test_p501
utmos,local_residual_normalized_k10,per_dataset,20,-0.01604166666666667,-0.04024470891794045,0.16329623328577084,0.09301080808139836,-0.017212403252425457,0.3489902583503408,0.05,nisqa_test_p501
utmos,local_residual_mondrian_k25,per_dataset,20,0.003749999999999987,-0.01942070429523788,0.022560569594303727,0.0473081429747643,-0.05871931910514849,0.1034983853499094,0.3,nisqa_test_p501
utmos,local_residual_normalized_k25,per_dataset,20,-0.006458333333333344,-0.07151997709368071,0.028059911618784315,0.04691299003571575,-0.0533788583613064,0.10148182325797972,0.25,nisqa_test_p501
utmos,local_residual_mondrian_k50,per_dataset,20,0.009374999999999977,-0.01425742680827775,-0.006689657519261138,0.0403352859308637,-0.06486461361249285,0.1154811938603717,0.65,nisqa_test_p501
utmos,local_residual_normalized_k50,per_dataset,20,0.004375000000000001,-0.05238603882453763,-0.021164351208690556,0.04198435394440024,-0.08042446027217753,0.0518986467901712,0.65,nisqa_test_p501
