model,method,aggregation,n_seeds,mean_delta_coverage,mean_delta_width,mean_delta_interval_score,std_delta_interval_score,min_delta_interval_score,max_delta_interval_score,fraction_improved,dataset
dnsmos,local_residual_normalized_k25,per_dataset,20,-0.010049019607843185,-0.0971792261863007,-0.055247569333264246,0.12398951101084796,-0.2816386158690909,0.16962398145450486,0.7,nisqa_train_live
dnsmos,local_residual_mondrian_k50,per_dataset,20,-0.0032352941176470697,-0.02915773402242101,-0.01807848377555028,0.07561033245554127,-0.2210764333313584,0.10246044467477278,0.55,nisqa_train_live
dnsmos,local_residual_normalized_k50,per_dataset,20,-0.007696078431372588,-0.10611925314178591,-0.07933418197196998,0.10100566977972335,-0.30042671571149704,0.09988992730780932,0.8,nisqa_train_live
dnsmos,mahalanobis_mondrian,per_dataset,20,-0.0040000000000000036,-0.0883559929728508,-0.08352025264501572,0.0614692444518781,-0.26680998563766467,0.012868137359619336,0.9,nisqa_val_live
dnsmos,predicted_mos_mondrian,per_dataset,20,-0.005500000000000005,-0.12313933396339416,-0.11500708842277522,0.12492461233840876,-0.3818099689483643,0.05822312593460088,0.8,nisqa_val_live
dnsmos,mos_extremity_mondrian,per_dataset,20,-0.005500000000000005,-0.07107603120803836,-0.06411751079559325,0.049285671582392734,-0.2072891879081724,-0.006379386186599945,1.0,nisqa_val_live
dnsmos,local_residual_mondrian_k10,per_dataset,20,-0.002250000000000002,-0.007282162606716125,-0.004280800521373762,0.05514007348543196,-0.1251930665969847,0.11524112701416023,0.45,nisqa_val_live
dnsmos,local_residual_normalized_k10,per_dataset,20,-0.012500000000000011,-0.06589857103306651,-0.021974960781683282,0.1551796249562291,-0.32101810056918234,0.28797500942525156,0.65,nisqa_val_live
dnsmos,local_residual_mondrian_k25,per_dataset,20,-0.0025000000000000022,-0.02964064812660221,-0.024426048159599322,0.06114663534067833,-0.18606500864028952,0.08364580512046826,0.7,nisqa_val_live
dnsmos,local_residual_normalized_k25,per_dataset,20,-0.0062500000000000056,-0.10554632202650512,-0.0838734514932662,0.13911139836138292,-0.36655515521056037,0.18834434071656414,0.75,nisqa_val_live
dnsmos,local_residual_mondrian_k50,per_dataset,20,-0.003250000000000003,-0.028277323842048598,-0.021297752261161818,0.0859316367456168,-0.26095979690551774,0.0929955995082854,0.45,nisqa_val_live
dnsmos,local_residual_normalized_k50,per_dataset,20,-0.0050000000000000044,-0.11050833731983825,-0.09394231874800865,0.1110464262460545,-0.3377431233523307,0.09746295371717295,0.8,nisqa_val_live
dnsmos,mahalanobis_mondrian,per_dataset,20,-0.010208333333333347,-0.04624855235219001,-0.04390219415227574,0.027779810135250074,-0.07425520618756609,0.025358275572458844,0.9,nisqa_test_for
dnsmos,predicted_mos_mondrian,per_dataset,20,0.006041666666666645,0.006373442808787022,-0.06038480689128247,0.0299614948047528,-0.10725927154223136,-0.0037312606970472117,1.0,nisqa_test_for
dnsmos,mos_extremity_mondrian,per_dataset,20,0.015833333333333317,0.046059630513191216,-0.06381240069866179,0.058403535043202254,-0.1540405760208765,0.06925094326337167,0.85,nisqa_test_for
dnsmos,local_residual_mondrian_k10,per_dataset,20,0.004791666666666644,0.028195396314064647,-0.0010615679124991173,0.029654290275892423,-0.046541690826416016,0.06984901328881588,0.45,nisqa_test_for
dnsmos,local_residual_normalized_k10,per_dataset,20,0.010416666666666647,0.1499931878687488,0.15080864858287774,0.07170409340015756,0.027707046049505024,0.3067099049472022,0.0,nisqa_test_for
dnsmos,local_residual_mondrian_k25,per_dataset,20,0.0012499999999999844,0.010737285713354772,-0.010077574650446586,0.03330503763824658,-0.0492337405681611,0.06581992208957654,0.6,nisqa_test_for
dnsmos,local_residual_normalized_k25,per_dataset,20,0.004166666666666652,0.016359200896042658,-0.0067649552241398235,0.07608120055517832,-0.09896755895672094,0.19201450690681465,0.65,nisqa_test_for
dnsmos,local_residual_mondrian_k50,per_dataset,20,0.003958333333333319,0.011705237974723226,-0.030910650541384997,0.04014782786681528,-0.09078575770060215,0.05931859215100621,0.75,nisqa_test_for
dnsmos,local_residual_normalized_k50,per_dataset,20,-0.003125000000000011,-0.03604001598662181,-0.03882842515323277,0.05302838519659172,-0.15415892668560227,0.05619506525640183,0.8,nisqa_test_for
