model,score,method,n_bins,dataset,n,coverage,mean_width,mean_interval_score,coverage_error,min_cal_bin_n,max_cal_bin_n
dnsmos,knn,adaptive,5,nisqa_test_p501,240,0.8666666666666667,2.7254631797472637,3.273760743935903,0.033333333333333326,250,250
dnsmos,knn,adaptive,10,nisqa_val_sim,1250,0.9104,2.778753516769409,3.155619184112549,0.010399999999999965,125,125
dnsmos,knn,adaptive,10,nisqa_train_live,1020,0.9833333333333333,2.696781676423316,2.73605718238681,0.08333333333333326,125,125
dnsmos,knn,adaptive,10,nisqa_val_live,200,1.0,2.704075646400452,2.704075646400452,0.09999999999999998,125,125
dnsmos,knn,adaptive,10,nisqa_test_for,240,0.8916666666666667,2.7258815626303354,3.223235046863556,0.008333333333333304,125,125
dnsmos,knn,adaptive,10,nisqa_test_livetalk,232,0.9439655172413793,2.6996763965179182,3.027996836037471,0.043965517241379315,125,125
dnsmos,knn,adaptive,10,nisqa_test_p501,240,0.8875,2.792665660381317,3.265987733999888,0.012500000000000067,125,125
nisqa,mahalanobis,fixed,1,nisqa_val_sim,1250,0.9008,2.9129514694213867,3.5259917259216307,0.0008000000000000229,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_train_live,1020,0.9931372549019608,2.9129514694213867,2.9261122451109043,0.09313725490196079,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_val_live,200,0.995,2.9129514694213867,2.9220370650291443,0.09499999999999997,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_test_for,240,0.9291666666666667,2.9129514694213867,3.447876423597336,0.029166666666666674,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_test_livetalk,232,0.9353448275862069,2.9129514694213867,3.185264599734339,0.03534482758620683,1250,1250
nisqa,mahalanobis,fixed,1,nisqa_test_p501,240,0.9708333333333333,2.9129514694213867,3.043981909751892,0.0708333333333333,1250,1250
nisqa,mahalanobis,adaptive,2,nisqa_val_sim,1250,0.8992,2.877451901817322,3.48303693523407,0.0008000000000000229,625,625
nisqa,mahalanobis,adaptive,2,nisqa_train_live,1020,0.9872549019607844,2.689542219218086,2.7251227748160267,0.08725490196078434,625,625
nisqa,mahalanobis,adaptive,2,nisqa_val_live,200,0.99,2.6893562495708467,2.71718652844429,0.08999999999999997,625,625
nisqa,mahalanobis,adaptive,2,nisqa_test_for,240,0.9291666666666667,2.7699740916490554,3.417653927206993,0.029166666666666674,625,625
nisqa,mahalanobis,adaptive,2,nisqa_test_livetalk,232,0.9267241379310345,2.6945890506793715,3.09428461358465,0.026724137931034453,625,625
nisqa,mahalanobis,adaptive,2,nisqa_test_p501,240,0.9666666666666667,2.7636511236429215,2.9084406207005182,0.06666666666666665,625,625
nisqa,mahalanobis,adaptive,3,nisqa_val_sim,1250,0.8976,2.8649200927734375,3.4737745029449463,0.0024000000000000687,416,417
nisqa,mahalanobis,adaptive,3,nisqa_train_live,1020,0.9754901960784313,2.407322178167455,2.5088039804907405,0.07549019607843133,416,417
nisqa,mahalanobis,adaptive,3,nisqa_val_live,200,0.98,2.4036298203468323,2.4827695059776307,0.07999999999999996,416,417
nisqa,mahalanobis,adaptive,3,nisqa_test_for,240,0.925,2.6224048852920534,3.2943799515565235,0.025000000000000022,416,417
nisqa,mahalanobis,adaptive,3,nisqa_test_livetalk,232,0.8922413793103449,2.4519547696771293,3.0124189195961786,0.00775862068965516,416,417
nisqa,mahalanobis,adaptive,3,nisqa_test_p501,240,0.9375,2.61925155321757,2.8317173808813094,0.03749999999999998,416,417
nisqa,mahalanobis,adaptive,5,nisqa_val_sim,1250,0.8944,2.834394107437134,3.4755673614501954,0.005600000000000049,250,250
nisqa,mahalanobis,adaptive,5,nisqa_train_live,1020,0.9431372549019608,2.1550117277631573,2.402344335761725,0.04313725490196074,250,250
nisqa,mahalanobis,adaptive,5,nisqa_val_live,200,0.98,2.144266757965088,2.2673023080825807,0.07999999999999996,250,250
nisqa,mahalanobis,adaptive,5,nisqa_test_for,240,0.9083333333333333,2.5388805508613586,3.2665205538272857,0.008333333333333304,250,250
nisqa,mahalanobis,adaptive,5,nisqa_test_livetalk,232,0.8405172413793104,2.205723258955725,3.1193790065831153,0.059482758620689635,250,250
nisqa,mahalanobis,adaptive,5,nisqa_test_p501,240,0.9041666666666667,2.5026010870933533,2.901845927039782,0.004166666666666652,250,250
nisqa,mahalanobis,adaptive,10,nisqa_val_sim,1250,0.9,2.8753137460708618,3.47392142162323,0.0,125,125
nisqa,mahalanobis,adaptive,10,nisqa_train_live,1020,0.9401960784313725,2.1120459963293636,2.4027988793803194,0.04019607843137252,125,125
nisqa,mahalanobis,adaptive,10,nisqa_val_live,200,0.96,2.111833937168121,2.226599843502045,0.05999999999999994,125,125
nisqa,mahalanobis,adaptive,10,nisqa_test_for,240,0.9083333333333333,2.552249106764793,3.309081408381462,0.008333333333333304,125,125
nisqa,mahalanobis,adaptive,10,nisqa_test_livetalk,232,0.8232758620689655,2.178235781603846,3.2288270551582863,0.0767241379310345,125,125
nisqa,mahalanobis,adaptive,10,nisqa_test_p501,240,0.9083333333333333,2.5300494939088822,2.8948626776536304,0.008333333333333304,125,125
nisqa,l2,fixed,1,nisqa_val_sim,1250,0.9008,2.9129514694213867,3.5259917259216307,0.0008000000000000229,1250,1250
nisqa,l2,fixed,1,nisqa_train_live,1020,0.9931372549019608,2.9129514694213867,2.9261122451109043,0.09313725490196079,1250,1250
nisqa,l2,fixed,1,nisqa_val_live,200,0.995,2.9129514694213867,2.9220370650291443,0.09499999999999997,1250,1250
nisqa,l2,fixed,1,nisqa_test_for,240,0.9291666666666667,2.9129514694213867,3.447876423597336,0.029166666666666674,1250,1250
nisqa,l2,fixed,1,nisqa_test_livetalk,232,0.9353448275862069,2.9129514694213867,3.185264599734339,0.03534482758620683,1250,1250
nisqa,l2,fixed,1,nisqa_test_p501,240,0.9708333333333333,2.9129514694213867,3.043981909751892,0.0708333333333333,1250,1250
nisqa,l2,adaptive,2,nisqa_val_sim,1250,0.8984,2.8988947776794434,3.503629309082031,0.0016000000000000458,625,625
nisqa,l2,adaptive,2,nisqa_train_live,1020,0.9892156862745098,2.801785960851931,2.8245184243894093,0.08921568627450982,625,625
nisqa,l2,adaptive,2,nisqa_val_live,200,0.99,2.8050731110572813,2.8267626571655273,0.08999999999999997,625,625
nisqa,l2,adaptive,2,nisqa_test_for,240,0.925,2.8129855434099835,3.3960574408372244,0.025000000000000022,625,625
nisqa,l2,adaptive,2,nisqa_test_livetalk,232,0.9353448275862069,2.788600245426441,3.1128548979759216,0.03534482758620683,625,625
nisqa,l2,adaptive,2,nisqa_test_p501,240,0.9625,2.843893482287725,3.033304665486018,0.0625,625,625
nisqa,l2,adaptive,3,nisqa_val_sim,1250,0.9072,2.9585159229278566,3.5014739116668703,0.007199999999999984,416,417
nisqa,l2,adaptive,3,nisqa_train_live,1020,0.9901960784313726,2.804521576563517,2.832357436535405,0.09019607843137256,416,417
nisqa,l2,adaptive,3,nisqa_val_live,200,0.995,2.8118658590316774,2.8330425906181333,0.09499999999999997,416,417
nisqa,l2,adaptive,3,nisqa_test_for,240,0.9291666666666667,2.8273604373137156,3.3866090337435404,0.029166666666666674,416,417
nisqa,l2,adaptive,3,nisqa_test_livetalk,232,0.9439655172413793,2.7754513991290124,3.114788503482424,0.043965517241379315,416,417
nisqa,l2,adaptive,3,nisqa_test_p501,240,0.9625,2.8807204405466718,3.076003356774648,0.0625,416,417
nisqa,l2,adaptive,5,nisqa_val_sim,1250,0.904,2.874045280456543,3.469247537612915,0.0040000000000000036,250,250
nisqa,l2,adaptive,5,nisqa_train_live,1020,0.9745098039215686,2.6189392950020585,2.7170000782199932,0.07450980392156858,250,250
nisqa,l2,adaptive,5,nisqa_val_live,200,0.995,2.660049409866333,2.6640778613090514,0.09499999999999997,250,250
nisqa,l2,adaptive,5,nisqa_test_for,240,0.925,2.6334298849105835,3.3431128164132438,0.025000000000000022,250,250
nisqa,l2,adaptive,5,nisqa_test_livetalk,232,0.896551724137931,2.5310787558555603,3.260930591616137,0.0034482758620689724,250,250
nisqa,l2,adaptive,5,nisqa_test_p501,240,0.9541666666666667,2.756170892715454,2.9762688765923184,0.054166666666666696,250,250
nisqa,l2,adaptive,10,nisqa_val_sim,1250,0.9056,2.8929830425262453,3.4746508319854734,0.005599999999999938,125,125
nisqa,l2,adaptive,10,nisqa_train_live,1020,0.9784313725490196,2.6328957581052594,2.726120973100849,0.07843137254901955,125,125
nisqa,l2,adaptive,10,nisqa_val_live,200,0.995,2.692511508464813,2.6942921257019044,0.09499999999999997,125,125
nisqa,l2,adaptive,10,nisqa_test_for,240,0.9208333333333333,2.6348386108875275,3.3063943286736808,0.02083333333333326,125,125
nisqa,l2,adaptive,10,nisqa_test_livetalk,232,0.875,2.510674842472734,3.38342291527781,0.025000000000000022,125,125
nisqa,l2,adaptive,10,nisqa_test_p501,240,0.95,2.7597664892673492,3.0055124710003533,0.04999999999999993,125,125
nisqa,knn,fixed,1,nisqa_val_sim,1250,0.9008,2.9129514694213867,3.5259917259216307,0.0008000000000000229,1250,1250
nisqa,knn,fixed,1,nisqa_train_live,1020,0.9931372549019608,2.9129514694213867,2.9261122451109043,0.09313725490196079,1250,1250
nisqa,knn,fixed,1,nisqa_val_live,200,0.995,2.9129514694213867,2.9220370650291443,0.09499999999999997,1250,1250
nisqa,knn,fixed,1,nisqa_test_for,240,0.9291666666666667,2.9129514694213867,3.447876423597336,0.029166666666666674,1250,1250
nisqa,knn,fixed,1,nisqa_test_livetalk,232,0.9353448275862069,2.9129514694213867,3.185264599734339,0.03534482758620683,1250,1250
nisqa,knn,fixed,1,nisqa_test_p501,240,0.9708333333333333,2.9129514694213867,3.043981909751892,0.0708333333333333,1250,1250
nisqa,knn,adaptive,2,nisqa_val_sim,1250,0.9024,2.913185914230347,3.5227006465911863,0.0023999999999999577,625,625
nisqa,knn,adaptive,2,nisqa_train_live,1020,0.9911764705882353,2.834470259442049,2.8538349623773613,0.0911764705882353,625,625
nisqa,knn,adaptive,2,nisqa_val_live,200,0.995,2.8348298144340514,2.847941083908081,0.09499999999999997,625,625
nisqa,knn,adaptive,2,nisqa_test_for,240,0.925,2.8869183897972106,3.447464996576309,0.025000000000000022,625,625
nisqa,knn,adaptive,2,nisqa_test_livetalk,232,0.9310344827586207,2.8420602658699297,3.1532840482119857,0.03103448275862064,625,625
nisqa,knn,adaptive,2,nisqa_test_p501,240,0.975,2.8782812535762785,3.00011509458224,0.07499999999999996,625,625
nisqa,knn,adaptive,3,nisqa_val_sim,1250,0.8944,2.8781347087860105,3.518592850112915,0.005600000000000049,416,417
nisqa,knn,adaptive,3,nisqa_train_live,1020,0.9872549019607844,2.7132012430359334,2.748012894041398,0.08725490196078434,416,417
nisqa,knn,adaptive,3,nisqa_val_live,200,0.99,2.704807540178299,2.732034524679184,0.08999999999999997,416,417
nisqa,knn,adaptive,3,nisqa_test_for,240,0.9291666666666667,2.8294561435778935,3.3745974232753118,0.029166666666666674,416,417
nisqa,knn,adaptive,3,nisqa_test_livetalk,232,0.9267241379310345,2.7239028235961653,3.0877107792887193,0.026724137931034453,416,417
nisqa,knn,adaptive,3,nisqa_test_p501,240,0.9666666666666667,2.8223051418860754,2.9491662472486495,0.06666666666666665,416,417
nisqa,knn,adaptive,5,nisqa_val_sim,1250,0.9016,2.8850687438964844,3.495789511871338,0.0015999999999999348,250,250
nisqa,knn,adaptive,5,nisqa_train_live,1020,0.9794117647058823,2.558067960365146,2.623507614696727,0.07941176470588229,250,250
nisqa,knn,adaptive,5,nisqa_val_live,200,0.985,2.5335681653022766,2.5816997623443605,0.08499999999999996,250,250
nisqa,knn,adaptive,5,nisqa_test_for,240,0.9333333333333333,2.7683524270852407,3.3877640148003896,0.033333333333333326,250,250
nisqa,knn,adaptive,5,nisqa_test_livetalk,232,0.9094827586206896,2.582499306777428,3.0507642996722253,0.00948275862068959,250,250
nisqa,knn,adaptive,5,nisqa_test_p501,240,0.9625,2.7641577432552973,2.9042412747939426,0.0625,250,250
nisqa,knn,adaptive,10,nisqa_val_sim,1250,0.904,2.9340304246902464,3.5023487840652465,0.0040000000000000036,125,125
nisqa,knn,adaptive,10,nisqa_train_live,1020,0.9872549019607844,2.6910264833300723,2.7293928595150216,0.08725490196078434,125,125
nisqa,knn,adaptive,10,nisqa_val_live,200,0.985,2.676124062538147,2.7157309556007387,0.08499999999999996,125,125
nisqa,knn,adaptive,10,nisqa_test_for,240,0.9375,2.8424944827953973,3.426329260071119,0.03749999999999998,125,125
nisqa,knn,adaptive,10,nisqa_test_livetalk,232,0.9267241379310345,2.7010354276361137,3.0924464895807464,0.026724137931034453,125,125
nisqa,knn,adaptive,10,nisqa_test_p501,240,0.975,2.8372464895248415,2.9473617990811665,0.07499999999999996,125,125
utmos,mahalanobis,fixed,1,nisqa_val_sim,1250,0.9176,2.2644686698913574,2.7757657318115236,0.01759999999999995,1250,1250
utmos,mahalanobis,fixed,1,nisqa_train_live,1020,0.8127450980392157,2.2644686698913574,3.336802218474594,0.08725490196078434,1250,1250
utmos,mahalanobis,fixed,1,nisqa_val_live,200,0.78,2.2644686698913574,3.6024161338806153,0.12,1250,1250
utmos,mahalanobis,fixed,1,nisqa_test_for,240,0.9208333333333333,2.2644686698913574,2.639484296242396,0.02083333333333326,1250,1250
utmos,mahalanobis,fixed,1,nisqa_test_livetalk,232,0.6637931034482759,2.2644686698913574,4.503284384464395,0.2362068965517241,1250,1250
utmos,mahalanobis,fixed,1,nisqa_test_p501,240,0.9208333333333333,2.2644686698913574,2.562443067630132,0.02083333333333326,1250,1250
utmos,mahalanobis,adaptive,2,nisqa_val_sim,1250,0.916,2.2674145698547363,2.777470520019531,0.016000000000000014,625,625
utmos,mahalanobis,adaptive,2,nisqa_train_live,1020,0.8098039215686275,2.254803997862573,3.3496413081300025,0.09019607843137256,625,625
utmos,mahalanobis,adaptive,2,nisqa_val_live,200,0.785,2.2544902420043944,3.6207679605484007,0.11499999999999999,625,625
utmos,mahalanobis,adaptive,2,nisqa_test_for,240,0.925,2.279210583368937,2.64390549659729,0.025000000000000022,625,625
utmos,mahalanobis,adaptive,2,nisqa_test_livetalk,232,0.6594827586206896,2.2538854089276543,4.520126340718105,0.2405172413793104,625,625
utmos,mahalanobis,adaptive,2,nisqa_test_p501,240,0.9166666666666666,2.264593784014384,2.563055370251338,0.016666666666666607,625,625
utmos,mahalanobis,adaptive,3,nisqa_val_sim,1250,0.9216,2.304592387390137,2.7864421340942385,0.021599999999999953,416,417
utmos,mahalanobis,adaptive,3,nisqa_train_live,1020,0.8225490196078431,2.3041357458806506,3.2937657625067467,0.07745098039215692,416,417
utmos,mahalanobis,adaptive,3,nisqa_val_live,200,0.78,2.30650364279747,3.5686453473567963,0.12,416,417
utmos,mahalanobis,adaptive,3,nisqa_test_for,240,0.9375,2.3181774616241455,2.6508676409721375,0.03749999999999998,416,417
utmos,mahalanobis,adaptive,3,nisqa_test_livetalk,232,0.6767241379310345,2.3112210168920715,4.405458882964891,0.22327586206896555,416,417
utmos,mahalanobis,adaptive,3,nisqa_test_p501,240,0.925,2.3206950147946674,2.5960651457309725,0.025000000000000022,416,417
utmos,mahalanobis,adaptive,5,nisqa_val_sim,1250,0.9208,2.284354012680054,2.784139601898193,0.02079999999999993,250,250
utmos,mahalanobis,adaptive,5,nisqa_train_live,1020,0.8205882352941176,2.31274755562053,3.331175635842716,0.0794117647058824,250,250
utmos,mahalanobis,adaptive,5,nisqa_val_live,200,0.79,2.3074172163009643,3.6014274740219117,0.10999999999999999,250,250
utmos,mahalanobis,adaptive,5,nisqa_test_for,240,0.9333333333333333,2.316271011034648,2.6799927592277526,0.033333333333333326,250,250
utmos,mahalanobis,adaptive,5,nisqa_test_livetalk,232,0.6767241379310345,2.3091679153771234,4.426581927414598,0.22327586206896555,250,250
utmos,mahalanobis,adaptive,5,nisqa_test_p501,240,0.9125,2.32076766093572,2.6181697944800058,0.012499999999999956,250,250
utmos,mahalanobis,adaptive,10,nisqa_val_sim,1250,0.9272,2.338499022293091,2.797024334716797,0.027200000000000002,125,125
utmos,mahalanobis,adaptive,10,nisqa_train_live,1020,0.8215686274509804,2.3512377416386325,3.339064161450255,0.07843137254901966,125,125
utmos,mahalanobis,adaptive,10,nisqa_val_live,200,0.795,2.340110285282135,3.594539804458618,0.10499999999999998,125,125
utmos,mahalanobis,adaptive,10,nisqa_test_for,240,0.9375,2.3838531494140627,2.6928741852442424,0.03749999999999998,125,125
