model,dataset,method,metric,fixed,method_value,method_minus_fixed,ci_lo,ci_hi,n_boot,conditioning
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k10,mean_width,2.760171413421631,2.778550561132102,0.018379147710471333,-0.07946650791784818,0.12849921491639354,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k10,mean_interval_score,3.033029247974527,3.0333051085472107,0.0002758605726835839,-0.055717037875076814,0.10312056366739612,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k25,coverage,0.9439655172413793,0.9310344827586207,-0.012931034482758674,-0.06034482758620696,0.012931034482758563,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k25,mean_width,2.760171413421631,2.728936269365508,-0.03123514405612271,-0.14827464079034744,0.097172408525286,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k25,mean_interval_score,3.033029247974527,3.0549565142598647,0.021927266285337588,-0.04531027911038199,0.2558180619159646,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k50,coverage,0.9439655172413793,0.9525862068965517,0.008620689655172376,-0.03448275862068961,0.02155172413793105,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k50,mean_width,2.760171413421631,2.741592384617904,-0.01857902880372686,-0.12608655346878664,0.09737054438426561,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_mondrian_k50,mean_interval_score,3.033029247974527,3.0129447086104033,-0.0200845393641238,-0.08511868401848052,0.13154652617100998,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_normalized_k10,coverage,0.9439655172413793,0.9137931034482759,-0.030172413793103425,-0.07327586206896552,-0.004310344827586188,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_normalized_k10,mean_width,2.760171413421631,2.7483471100796923,-0.011824303341938514,-0.16090876329111684,0.12235542721250407,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_normalized_k10,mean_interval_score,3.033029247974527,3.1392613780223644,0.10623213004783727,-0.005380525002473891,0.21480993283332905,2000,fixed_difficulty_estimator
