model,score,calibration_fraction,seed,dataset,calibration_n,evaluation_n,fixed_coverage,fixed_width,fixed_interval_score,adaptive_coverage,adaptive_width,adaptive_interval_score,delta_coverage,delta_width,delta_interval_score
dnsmos,mahalanobis,0.3,20270002,nisqa_train_live,750,1020,0.9901960784313726,2.7206335067749023,2.749116212713952,0.9813725490196078,2.6094942081208323,2.6527552920229294,-0.008823529411764786,-0.11113929865407002,-0.09636092069102276
dnsmos,mahalanobis,0.3,20270002,nisqa_val_live,750,200,1.0,2.7206335067749023,2.7206335067749023,0.995,2.6192083299160003,2.624368017911911,-0.0050000000000000044,-0.10142517685890207,-0.09626548886299124
dnsmos,mahalanobis,0.3,20270002,nisqa_test_for,750,240,0.9,2.7206335067749023,3.2149482369422913,0.8875,2.660956397652626,3.1894161154826484,-0.012500000000000067,-0.059677109122276306,-0.025532121459642898
dnsmos,mahalanobis,0.3,20270002,nisqa_test_livetalk,750,232,0.9439655172413793,2.7206335067749023,3.0156462028108795,0.9353448275862069,2.601712745839152,2.9630107191102257,-0.008620689655172487,-0.11892076093575055,-0.05263548370065374
dnsmos,mahalanobis,0.3,20270002,nisqa_test_p501,750,240,0.8583333333333333,2.7206335067749023,3.259566237529119,0.8583333333333333,2.709876278042793,3.2862814952929815,0.0,-0.010757228732109159,0.02671525776386252
dnsmos,l2,0.3,20270002,nisqa_val_sim,750,1750,0.8937142857142857,2.7206335067749023,3.19730475970677,0.8954285714285715,2.749440956251962,3.2059015833990916,0.0017142857142857792,0.0288074494770596,0.008596823692321731
dnsmos,l2,0.3,20270002,nisqa_train_live,750,1020,0.9901960784313726,2.7206335067749023,2.749116212713952,0.984313725490196,2.6748915317011814,2.711304965206221,-0.005882352941176561,-0.04574197507372091,-0.03781124750773124
dnsmos,l2,0.3,20270002,nisqa_val_live,750,200,1.0,2.7206335067749023,2.7206335067749023,0.995,2.672694456577301,2.6784717798233033,-0.0050000000000000044,-0.04793905019760114,-0.04216172695159903
dnsmos,l2,0.3,20270002,nisqa_test_for,750,240,0.9,2.7206335067749023,3.2149482369422913,0.9083333333333333,2.7624778201182685,3.1709389835596085,0.008333333333333304,0.041844313343366135,-0.0440092533826828
dnsmos,l2,0.3,20270002,nisqa_test_livetalk,750,232,0.9439655172413793,2.7206335067749023,3.0156462028108795,0.9353448275862069,2.6854783337691734,2.9764410997259207,-0.008620689655172487,-0.0351551730057289,-0.039205103084958726
dnsmos,l2,0.3,20270002,nisqa_test_p501,750,240,0.8583333333333333,2.7206335067749023,3.259566237529119,0.8791666666666667,2.757650242249171,3.164316123723984,0.02083333333333337,0.037016735474268536,-0.09525011380513515
dnsmos,knn,0.3,20270002,nisqa_val_sim,750,1750,0.8937142857142857,2.7206335067749023,3.19730475970677,0.8914285714285715,2.6933232258387974,3.2001471742902483,-0.0022857142857142243,-0.02731028093610499,0.0028424145834784476
dnsmos,knn,0.3,20270002,nisqa_train_live,750,1020,0.9901960784313726,2.7206335067749023,2.749116212713952,0.9774509803921568,2.5172197926278206,2.584995853199678,-0.012745098039215752,-0.20341371414708176,-0.16412035951427395
dnsmos,knn,0.3,20270002,nisqa_val_live,750,200,1.0,2.7206335067749023,2.7206335067749023,0.995,2.5261284565925597,2.536410174369812,-0.0050000000000000044,-0.19450505018234265,-0.18422333240509037
dnsmos,knn,0.3,20270002,nisqa_test_for,750,240,0.9,2.7206335067749023,3.2149482369422913,0.875,2.6093601882457733,3.193555017312368,-0.025000000000000022,-0.11127331852912903,-0.021393219629923355
dnsmos,knn,0.3,20270002,nisqa_test_livetalk,750,232,0.9439655172413793,2.7206335067749023,3.0156462028108795,0.9181034482758621,2.5317977276341668,2.9370755943758735,-0.025862068965517238,-0.18883577914073557,-0.07857060843500596
dnsmos,knn,0.3,20270002,nisqa_test_p501,750,240,0.8583333333333333,2.7206335067749023,3.259566237529119,0.85,2.68619203766187,3.2771518647670748,-0.008333333333333304,-0.03444146911303214,0.01758562723795576
