model,score,dataset,n_bins,metric,fixed,adaptive,adaptive_minus_fixed,ci_lo,ci_hi,n_boot
nisqa,l2,nisqa_val_live,5,interval_score,2.9220370650291443,2.6640778613090514,-0.25795920372009284,-0.42568266598658966,-0.11716508404654696,2000
nisqa,l2,nisqa_test_for,5,coverage,0.9291666666666667,0.925,-0.004166666666666652,-0.029166666666666674,0.02083333333333337,2000
nisqa,l2,nisqa_test_for,5,width,2.9129514694213867,2.6334298849105835,-0.2795215845108032,-0.4714045536766452,-0.11625169446070979,2000
nisqa,l2,nisqa_test_for,5,interval_score,3.447876423597336,3.3431128164132438,-0.10476360718409206,-0.3040899293621384,0.10671850100159616,2000
nisqa,l2,nisqa_test_livetalk,5,coverage,0.9353448275862069,0.896551724137931,-0.0387931034482758,-0.10775862068965514,-0.004310344827586299,2000
nisqa,l2,nisqa_test_livetalk,5,width,2.9129514694213867,2.5310787558555603,-0.3818727135658264,-0.5688268964146748,-0.21855692621962797,2000
nisqa,l2,nisqa_test_livetalk,5,interval_score,3.185264599734339,3.260930591616137,0.0756659918817979,-0.17375785669889945,0.524487971848455,2000
nisqa,l2,nisqa_test_p501,5,coverage,0.9708333333333333,0.9541666666666667,-0.016666666666666607,-0.05833333333333335,0.004166666666666652,2000
nisqa,l2,nisqa_test_p501,5,width,2.9129514694213867,2.756170892715454,-0.1567805767059327,-0.3181538137793542,-0.017465146332979326,2000
nisqa,l2,nisqa_test_p501,5,interval_score,3.043981909751892,2.9762688765923184,-0.06771303315957367,-0.20037522614002212,0.14233102043469759,2000
nisqa,knn,nisqa_val_sim,5,coverage,0.9008,0.9016,0.0007999999999999119,-0.014399999999999968,0.01759999999999995,2000
nisqa,knn,nisqa_val_sim,5,width,2.9129514694213867,2.8850687438964844,-0.02788272552490234,-0.11572790689468396,0.05929417843818655,2000
nisqa,knn,nisqa_val_sim,5,interval_score,3.5259917259216307,3.495789511871338,-0.030202214050292664,-0.0667922246074676,0.03915566096305839,2000
nisqa,knn,nisqa_train_live,5,coverage,0.9931372549019608,0.9794117647058823,-0.013725490196078494,-0.04129996948428444,-0.0009774932413856299,2000
nisqa,knn,nisqa_train_live,5,width,2.9129514694213867,2.558067960365146,-0.3548835090562408,-0.6454954067788244,-0.06464435983701698,2000
nisqa,knn,nisqa_train_live,5,interval_score,2.9261122451109043,2.623507614696727,-0.3026046304141774,-0.5144316433804029,-0.05856157950207472,2000
nisqa,knn,nisqa_val_live,5,coverage,0.995,0.985,-0.010000000000000009,-0.030000000000000027,0.0,2000
nisqa,knn,nisqa_val_live,5,width,2.9129514694213867,2.5335681653022766,-0.37938330411911014,-0.6961340439978557,-0.08251548595422073,2000
nisqa,knn,nisqa_val_live,5,interval_score,2.9220370650291443,2.5816997623443605,-0.3403373026847838,-0.606936596242327,-0.07235391353332803,2000
nisqa,knn,nisqa_test_for,5,coverage,0.9291666666666667,0.9333333333333333,0.004166666666666652,-0.01666666666666672,0.033333333333333326,2000
nisqa,knn,nisqa_test_for,5,width,2.9129514694213867,2.7683524270852407,-0.14459904233614607,-0.31491133337219573,0.0046202749262253965,2000
nisqa,knn,nisqa_test_for,5,interval_score,3.447876423597336,3.3877640148003896,-0.06011240879694624,-0.20787277350823075,0.09490004643797904,2000
nisqa,knn,nisqa_test_livetalk,5,coverage,0.9353448275862069,0.9094827586206896,-0.025862068965517238,-0.07758620689655171,0.004310344827586188,2000
nisqa,knn,nisqa_test_livetalk,5,width,2.9129514694213867,2.582499306777428,-0.33045216264395894,-0.6139062203466894,-0.07031916685659353,2000
nisqa,knn,nisqa_test_livetalk,5,interval_score,3.185264599734339,3.0507642996722253,-0.1345003000621139,-0.3172441290370351,0.09732295243904468,2000
nisqa,knn,nisqa_test_p501,5,coverage,0.9708333333333333,0.9625,-0.008333333333333304,-0.050000000000000044,0.012499999999999956,2000
nisqa,knn,nisqa_test_p501,5,width,2.9129514694213867,2.7641577432552973,-0.14879372616608944,-0.31122944255669927,0.015065413589278901,2000
nisqa,knn,nisqa_test_p501,5,interval_score,3.043981909751892,2.9042412747939426,-0.13974063495794953,-0.2636828647802274,0.02165325850248326,2000
utmos,mahalanobis,nisqa_val_sim,5,coverage,0.9176,0.9208,0.0031999999999999806,-0.01759999999999995,0.010399999999999968,2000
utmos,mahalanobis,nisqa_val_sim,5,width,2.2644686698913574,2.284354012680054,0.01988534278869647,-0.054304457292556764,0.10801857795715325,2000
utmos,mahalanobis,nisqa_val_sim,5,interval_score,2.7757657318115236,2.784139601898193,0.008373870086669566,-0.01441151455879206,0.07946563884735117,2000
utmos,mahalanobis,nisqa_train_live,5,coverage,0.8127450980392157,0.8205882352941176,0.007843137254901933,-0.024390839367377962,0.03401609181684361,2000
utmos,mahalanobis,nisqa_train_live,5,width,2.2644686698913574,2.31274755562053,0.048278885729172494,-0.04096511084423837,0.18349159792797573,2000
utmos,mahalanobis,nisqa_train_live,5,interval_score,3.336802218474594,3.331175635842716,-0.0056265826318782075,-0.08567528147524969,0.1760408146413852,2000
utmos,mahalanobis,nisqa_val_live,5,coverage,0.78,0.79,0.010000000000000009,-0.02500314070351761,0.045454545454545414,2000
utmos,mahalanobis,nisqa_val_live,5,width,2.2644686698913574,2.3074172163009643,0.04294854640960688,-0.04912435407680682,0.15026714066367813,2000
utmos,mahalanobis,nisqa_val_live,5,interval_score,3.6024161338806153,3.6014274740219117,-0.0009886598587036666,-0.12119648420010068,0.1916457480423485,2000
utmos,mahalanobis,nisqa_test_for,5,coverage,0.9208333333333333,0.9333333333333333,0.012500000000000067,-0.02083333333333326,0.029166666666666674,2000
utmos,mahalanobis,nisqa_test_for,5,width,2.2644686698913574,2.316271011034648,0.05180234114329041,-0.052195103218158234,0.17532049568990832,2000
